year_of_filing,state,sector,dispute_type,claim_amount_slab,claim_amount_numeric,respondent_type,delay_days,has_written_contract,has_purchase_order,has_delivery_challan,num_invoices_submitted,doc_completeness_score,claimant_udyam_age_months,prior_cases_filed,case_status,resolution_days
2021,West Bengal,Auto Components,Non-Payment,10-50 Lakh,3000000,PSU,194,1,1,1,12,0.71,72,0,Mutually Settled,40.0
2024,Rajasthan,Engineering & Fabrication,Non-Payment,10-50 Lakh,3000000,Private Large Corp,840,1,0,1,8,0.73,103,0,Converted to Case - Pending,
2023,Haryana,Construction,Payment After Due Date,1-10 Lakh,500000,Private Large Corp,500,1,1,1,1,0.64,12,1,Mutually Settled,39.0
2019,Rajasthan,Electrical & Electronics,Partial Payment,1-10 Lakh,500000,Private Large Corp,202,1,1,1,8,0.76,26,0,Disposed - In Favour of Claimant,333.0
2020,Gujarat,Textile & Apparel,Non-Payment,Above 1 Crore,15000000,PSU,277,1,1,0,6,0.57,112,1,Mutually Settled,87.0
2018,Telangana,Auto Components,Partial Payment,Below 1 Lakh,50000,Private Large Corp,252,0,1,0,7,0.73,119,0,Disposed - In Favour of Claimant,289.0
2025,Madhya Pradesh,Printing & Packaging,Non-Payment,1-10 Lakh,500000,PSU,217,1,1,1,7,0.64,111,2,Mutually Settled,95.0
2024,Haryana,Printing & Packaging,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Private Large Corp,457,0,0,1,4,0.45,42,1,Disposed - In Favour of Claimant,482.0
2018,Tamil Nadu,Engineering & Fabrication,Partial Payment,10-50 Lakh,3000000,Private Large Corp,211,1,0,1,13,0.49,18,0,Rejected,44.0
2022,Delhi,Electrical & Electronics,Payment After Due Date,Below 1 Lakh,50000,Private Large Corp,828,1,1,0,12,0.88,39,0,Mutually Settled,68.0
2025,Uttar Pradesh,Electrical & Electronics,Non-Payment,10-50 Lakh,3000000,Govt Department,572,1,1,1,3,0.97,104,0,Mutually Settled,64.0
2023,Maharashtra,Printing & Packaging,Payment After Due Date,10-50 Lakh,3000000,Private SME,550,0,1,1,4,0.79,92,0,Disposed - In Favour of Claimant,332.0
2022,Odisha,Construction,Payment After Due Date,1-10 Lakh,500000,Private Large Corp,589,1,1,1,10,0.53,65,0,Disposed - In Favour of Claimant,602.0
2020,Gujarat,Food Processing,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Private Large Corp,597,1,1,0,14,0.94,8,0,Mutually Settled,81.0
2020,Jharkhand,Electrical & Electronics,Non-Payment,1-10 Lakh,500000,CPSE,121,0,0,0,7,0.77,88,1,Disposed - In Favour of Claimant,144.0
2023,Rajasthan,Engineering & Fabrication,Non-Payment,1-10 Lakh,500000,Private Large Corp,257,1,1,0,14,0.72,112,0,Disposed - In Favour of Claimant,729.0
2024,Gujarat,Printing & Packaging,Partial Payment,Below 1 Lakh,50000,Private SME,648,0,1,0,12,1.0,39,0,Mutually Settled,107.0
2022,Karnataka,Food Processing,Non-Payment,1-10 Lakh,500000,PSU,815,1,1,1,10,0.48,30,0,Mutually Settled,179.0
2019,Kerala,IT & Software Services,Non-Payment,10-50 Lakh,3000000,Private Large Corp,790,1,0,1,7,0.8,29,1,Mutually Settled,112.0
2025,West Bengal,Manufacturing,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Govt Department,67,1,0,1,8,0.49,75,0,Mutually Settled,58.0
2024,Madhya Pradesh,Food Processing,Non-Payment,1-10 Lakh,500000,CPSE,199,1,1,0,11,0.53,91,3,Mutually Settled,113.0
2019,Punjab,Electrical & Electronics,Contract Breach,10-50 Lakh,3000000,Private SME,469,1,1,1,13,1.0,78,0,Mutually Settled,154.0
2018,Haryana,Manufacturing,Non-Payment,10-50 Lakh,3000000,Govt Department,693,1,1,1,6,0.75,65,1,Mutually Settled,154.0
2022,Andhra Pradesh,Electrical & Electronics,Payment After Due Date,1-10 Lakh,500000,PSU,337,1,1,0,14,1.0,80,2,Mutually Settled,128.0
2020,Gujarat,Engineering & Fabrication,Partial Payment,Below 1 Lakh,50000,Private Large Corp,455,1,1,0,1,0.76,90,1,Mutually Settled,128.0
2020,Rajasthan,Pharma & Chemicals,Partial Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,658,1,1,1,7,0.73,51,1,Mutually Settled,82.0
2018,Gujarat,Food Processing,Contract Breach,10-50 Lakh,3000000,Private Large Corp,638,1,1,0,2,0.52,60,0,Mutually Settled,28.0
2025,Himachal Pradesh,Manufacturing,Non-Payment,10-50 Lakh,3000000,CPSE,166,1,1,0,7,0.85,111,0,Disposed - In Favour of Claimant,515.0
2024,Jharkhand,Engineering & Fabrication,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Private Large Corp,556,1,1,0,1,0.66,2,0,Mutually Settled,129.0
2019,Maharashtra,Electrical & Electronics,Partial Payment,10-50 Lakh,3000000,Private Large Corp,692,1,1,1,5,0.67,47,0,Mutually Settled,56.0
2024,Haryana,Food Processing,Non-Payment,10-50 Lakh,3000000,PSU,557,0,1,0,7,0.6,62,2,Disposed - In Favour of Claimant,700.0
2023,Odisha,Engineering & Fabrication,Quality Dispute Leading to Non-Payment,Below 1 Lakh,50000,PSU,430,1,1,0,4,0.63,52,0,Mutually Settled,16.0
2021,Gujarat,Electrical & Electronics,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,776,1,1,0,13,0.65,101,0,Converted to Case - Pending,
2024,Delhi,Pharma & Chemicals,Payment After Due Date,1-10 Lakh,500000,Private Large Corp,279,0,1,0,14,0.67,38,0,Converted to Case - Pending,
2022,Odisha,Pharma & Chemicals,Non-Payment,Below 1 Lakh,50000,PSU,263,1,0,0,8,0.64,58,0,Mutually Settled,31.0
2024,Maharashtra,Textile & Apparel,Quality Dispute Leading to Non-Payment,Below 1 Lakh,50000,Private SME,461,1,1,1,13,0.34,39,0,Converted to Case - Pending,
2022,Haryana,Auto Components,Partial Payment,10-50 Lakh,3000000,PSU,507,0,1,0,6,0.76,36,2,Mutually Settled,54.0
2022,Tamil Nadu,Engineering & Fabrication,Non-Payment,10-50 Lakh,3000000,Private Large Corp,384,1,0,0,6,0.63,63,1,Disposed - In Favour of Claimant,493.0
2020,Odisha,Auto Components,Partial Payment,10-50 Lakh,3000000,Govt Department,822,0,1,0,11,0.1,89,1,Converted to Case - Pending,
2021,Uttarakhand,Textile & Apparel,Non-Payment,50 Lakh - 1 Crore,7500000,Govt Department,792,1,1,0,2,0.33,32,0,Mutually Settled,162.0
2022,Jharkhand,Construction,Non-Payment,1-10 Lakh,500000,Private Large Corp,616,1,1,1,14,0.56,57,1,Mutually Settled,114.0
2025,Rajasthan,Food Processing,Non-Payment,10-50 Lakh,3000000,Private Large Corp,622,1,1,1,5,0.91,27,1,Mutually Settled,75.0
2022,Andhra Pradesh,Electrical & Electronics,Non-Payment,10-50 Lakh,3000000,Private SME,291,0,1,1,6,0.77,101,0,Mutually Settled,91.0
2019,Andhra Pradesh,Printing & Packaging,Non-Payment,Above 1 Crore,15000000,PSU,194,1,1,1,14,0.51,10,1,Mutually Settled,124.0
2017,Tamil Nadu,Auto Components,Partial Payment,1-10 Lakh,500000,Private Large Corp,449,1,0,0,2,0.61,109,2,Disposed - In Favour of Claimant,372.0
2024,Telangana,Auto Components,Partial Payment,Above 1 Crore,15000000,Private Large Corp,734,1,0,0,14,0.87,39,0,Mutually Settled,37.0
2021,Maharashtra,Engineering & Fabrication,Partial Payment,Below 1 Lakh,50000,Private SME,548,1,1,1,2,0.53,61,1,Disposed - In Favour of Claimant,141.0
2020,Delhi,Food Processing,Non-Payment,10-50 Lakh,3000000,Govt Department,429,1,1,0,13,0.43,55,0,Mutually Settled,19.0
2024,Gujarat,Engineering & Fabrication,Partial Payment,10-50 Lakh,3000000,CPSE,78,0,1,1,1,0.83,109,0,Mutually Settled,57.0
2025,Maharashtra,Pharma & Chemicals,Payment After Due Date,50 Lakh - 1 Crore,7500000,PSU,447,0,1,1,13,0.87,50,0,Mutually Settled,121.0
2023,Maharashtra,Auto Components,Non-Payment,Below 1 Lakh,50000,Private Large Corp,470,1,1,1,3,0.53,56,1,Mutually Settled,150.0
2019,Haryana,Food Processing,Quality Dispute Leading to Non-Payment,Below 1 Lakh,50000,Govt Department,702,0,1,0,4,0.75,37,0,Mutually Settled,132.0
2021,Tamil Nadu,IT & Software Services,Partial Payment,Below 1 Lakh,50000,Private Large Corp,314,1,1,1,4,0.64,59,0,Mutually Settled,62.0
2023,West Bengal,Construction,Payment After Due Date,10-50 Lakh,3000000,Private Large Corp,798,1,1,1,3,0.53,16,1,Disposed - In Favour of Claimant,601.0
2024,Maharashtra,Electrical & Electronics,Non-Payment,10-50 Lakh,3000000,Private Large Corp,344,0,1,1,13,0.88,64,1,Disposed - In Favour of Claimant,728.0
2025,Tamil Nadu,Textile & Apparel,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,158,1,1,0,13,0.52,1,0,Converted to Case - Pending,
2022,Karnataka,Construction,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Private SME,886,0,1,0,13,0.8,39,1,Mutually Settled,157.0
2024,Madhya Pradesh,Textile & Apparel,Payment After Due Date,Below 1 Lakh,50000,PSU,549,1,1,0,6,0.66,42,0,Mutually Settled,30.0
2018,Tamil Nadu,Auto Components,Non-Payment,1-10 Lakh,500000,Private Large Corp,366,1,1,0,9,0.62,107,1,Disposed - In Favour of Claimant,385.0
2020,Punjab,Construction,Non-Payment,Below 1 Lakh,50000,PSU,85,1,1,1,7,0.54,59,0,Mutually Settled,79.0
2021,Kerala,Construction,Partial Payment,10-50 Lakh,3000000,Govt Department,719,1,1,0,12,0.45,92,0,Mutually Settled,45.0
2025,Delhi,Electrical & Electronics,Partial Payment,50 Lakh - 1 Crore,7500000,Private SME,593,1,1,0,1,0.6,99,0,Mutually Settled,95.0
2017,Gujarat,Printing & Packaging,Quality Dispute Leading to Non-Payment,Above 1 Crore,15000000,Private SME,410,1,1,0,7,0.55,45,1,Mutually Settled,76.0
2020,Maharashtra,Electrical & Electronics,Non-Payment,1-10 Lakh,500000,Private Large Corp,251,0,1,1,7,0.67,1,1,Mutually Settled,106.0
2025,Kerala,Engineering & Fabrication,Non-Payment,Below 1 Lakh,50000,Private SME,280,1,1,0,2,0.41,29,2,Disposed - In Favour of Claimant,390.0
2020,Maharashtra,Printing & Packaging,Non-Payment,1-10 Lakh,500000,Private Large Corp,152,0,0,1,6,0.62,109,0,Converted to Case - Pending,
2020,Kerala,Construction,Non-Payment,10-50 Lakh,3000000,Private Large Corp,642,0,1,1,7,0.73,106,1,Mutually Settled,23.0
2023,Karnataka,Printing & Packaging,Non-Payment,Above 1 Crore,15000000,Private Large Corp,137,0,1,0,10,0.52,34,0,Converted to Case - Pending,
2023,Jharkhand,Printing & Packaging,Quality Dispute Leading to Non-Payment,Below 1 Lakh,50000,Private Large Corp,781,1,1,1,8,0.8,30,0,Disposed - In Favour of Claimant,499.0
2022,Madhya Pradesh,Engineering & Fabrication,Partial Payment,Below 1 Lakh,50000,Private SME,459,1,1,1,11,0.82,65,1,Mutually Settled,106.0
2025,Goa,Food Processing,Payment After Due Date,10-50 Lakh,3000000,Govt Department,85,0,1,1,8,0.41,92,0,Disposed - In Favour of Claimant,90.0
2020,Uttar Pradesh,Auto Components,Non-Payment,10-50 Lakh,3000000,Govt Department,441,1,1,0,8,0.5,37,0,Disposed - In Favour of Claimant,607.0
2024,West Bengal,Food Processing,Non-Payment,1-10 Lakh,500000,CPSE,650,1,1,1,1,0.38,88,0,Mutually Settled,17.0
2023,Uttar Pradesh,Auto Components,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,519,0,1,1,5,0.73,74,0,Mutually Settled,169.0
2021,Rajasthan,Food Processing,Non-Payment,Below 1 Lakh,50000,Private Large Corp,829,1,1,1,13,0.68,91,0,Mutually Settled,117.0
2024,Punjab,Food Processing,Payment After Due Date,50 Lakh - 1 Crore,7500000,Govt Department,511,0,0,1,1,0.33,32,1,Converted to Case - Pending,
2019,Kerala,Textile & Apparel,Non-Payment,1-10 Lakh,500000,Private SME,351,1,1,1,8,0.52,61,0,Converted to Case - Pending,
2019,Himachal Pradesh,Printing & Packaging,Non-Payment,Below 1 Lakh,50000,CPSE,791,0,0,1,13,0.71,118,1,Mutually Settled,177.0
2025,West Bengal,Pharma & Chemicals,Non-Payment,1-10 Lakh,500000,Private Large Corp,88,1,1,0,13,0.67,12,0,Mutually Settled,99.0
2018,Uttar Pradesh,Engineering & Fabrication,Non-Payment,1-10 Lakh,500000,Private SME,178,0,1,1,1,0.89,45,0,Mutually Settled,32.0
2017,Uttar Pradesh,Food Processing,Payment After Due Date,1-10 Lakh,500000,Private SME,622,1,1,1,8,0.42,4,2,Disposed - In Favour of Claimant,419.0
2021,West Bengal,Construction,Non-Payment,10-50 Lakh,3000000,Private Large Corp,396,1,1,1,10,0.65,40,0,Mutually Settled,90.0
2019,Gujarat,IT & Software Services,Payment After Due Date,1-10 Lakh,500000,Govt Department,639,1,1,0,9,0.45,26,0,Mutually Settled,174.0
2024,Maharashtra,Textile & Apparel,Partial Payment,10-50 Lakh,3000000,Private Large Corp,194,1,1,1,7,0.67,16,1,Mutually Settled,169.0
2025,Uttar Pradesh,IT & Software Services,Non-Payment,1-10 Lakh,500000,PSU,116,0,1,1,12,0.61,54,0,Mutually Settled,30.0
2022,Tamil Nadu,Manufacturing,Non-Payment,Below 1 Lakh,50000,Private SME,366,0,0,0,4,0.7,10,0,Disposed - In Favour of Claimant,638.0
2021,Tamil Nadu,Electrical & Electronics,Payment After Due Date,Above 1 Crore,15000000,Private SME,836,1,1,0,8,0.57,22,0,Mutually Settled,32.0
2022,Gujarat,Manufacturing,Payment After Due Date,50 Lakh - 1 Crore,7500000,PSU,648,1,1,1,6,0.8,5,0,Mutually Settled,20.0
2020,Maharashtra,Auto Components,Non-Payment,Below 1 Lakh,50000,Private SME,489,1,0,1,8,0.51,64,2,Converted to Case - Pending,
2020,Maharashtra,Food Processing,Non-Payment,1-10 Lakh,500000,Private Large Corp,812,0,1,1,12,0.45,24,0,Disposed - In Favour of Claimant,202.0
2019,Himachal Pradesh,Engineering & Fabrication,Non-Payment,10-50 Lakh,3000000,Private Large Corp,207,1,1,1,3,0.7,93,0,Mutually Settled,125.0
2021,Uttar Pradesh,Construction,Non-Payment,1-10 Lakh,500000,Private Large Corp,870,1,0,1,3,1.0,116,1,Mutually Settled,160.0
2022,Uttar Pradesh,Pharma & Chemicals,Non-Payment,10-50 Lakh,3000000,Private SME,829,0,1,0,2,0.35,99,0,Converted to Case - Pending,
2025,Haryana,Pharma & Chemicals,Non-Payment,10-50 Lakh,3000000,Private SME,405,1,1,1,9,0.42,14,0,Mutually Settled,81.0
2023,Gujarat,Textile & Apparel,Non-Payment,1-10 Lakh,500000,PSU,503,1,1,1,2,0.7,69,0,Mutually Settled,33.0
2023,Jharkhand,Textile & Apparel,Non-Payment,Below 1 Lakh,50000,CPSE,897,0,1,1,4,0.88,28,1,Mutually Settled,175.0
2020,Madhya Pradesh,Textile & Apparel,Non-Payment,10-50 Lakh,3000000,Govt Department,733,1,1,1,4,0.71,9,0,Mutually Settled,68.0
2024,Maharashtra,Textile & Apparel,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,PSU,838,1,1,1,3,0.53,28,1,Mutually Settled,153.0
2025,Uttar Pradesh,Printing & Packaging,Partial Payment,1-10 Lakh,500000,Govt Department,241,0,1,1,12,0.73,39,0,Mutually Settled,17.0
2025,Kerala,Food Processing,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Private SME,205,1,1,0,6,0.75,93,0,Mutually Settled,51.0
2018,Jharkhand,IT & Software Services,Non-Payment,10-50 Lakh,3000000,Private Large Corp,551,1,0,0,11,0.51,102,0,Disposed - In Favour of Claimant,708.0
2022,Rajasthan,Food Processing,Partial Payment,1-10 Lakh,500000,Private Large Corp,858,1,0,0,10,0.81,6,0,Disposed - In Favour of Claimant,299.0
2023,Delhi,Food Processing,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,137,1,1,1,9,0.64,110,0,Converted to Case - Pending,
2020,Gujarat,Manufacturing,Partial Payment,10-50 Lakh,3000000,Private SME,725,1,1,1,7,0.3,117,0,Disposed - In Favour of Claimant,629.0
2025,Goa,Engineering & Fabrication,Non-Payment,1-10 Lakh,500000,CPSE,698,0,1,0,14,0.62,105,1,Converted to Case - Pending,
2020,Gujarat,Construction,Non-Payment,1-10 Lakh,500000,Private Large Corp,306,0,1,1,1,0.54,88,0,Disposed - In Favour of Claimant,192.0
2020,Jharkhand,Auto Components,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,CPSE,190,1,1,1,1,0.91,62,2,Mutually Settled,50.0
2022,Punjab,Engineering & Fabrication,Partial Payment,1-10 Lakh,500000,PSU,284,1,1,0,1,0.38,112,0,Disposed - In Favour of Claimant,413.0
2021,Delhi,Textile & Apparel,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,PSU,116,1,1,0,5,0.55,50,0,Disposed - In Favour of Claimant,489.0
2025,Karnataka,IT & Software Services,Non-Payment,10-50 Lakh,3000000,Private SME,520,0,0,0,14,0.7,46,0,Disposed - In Favour of Claimant,468.0
2021,Gujarat,Manufacturing,Non-Payment,10-50 Lakh,3000000,PSU,744,1,0,1,2,1.0,26,1,Mutually Settled,99.0
2021,Gujarat,Printing & Packaging,Non-Payment,10-50 Lakh,3000000,PSU,592,1,1,1,6,1.0,9,0,Mutually Settled,41.0
2023,Gujarat,IT & Software Services,Payment After Due Date,10-50 Lakh,3000000,Private Large Corp,741,1,0,1,6,0.64,14,1,Mutually Settled,29.0
2018,Gujarat,Manufacturing,Partial Payment,1-10 Lakh,500000,Private Large Corp,701,1,1,1,7,0.72,85,0,Mutually Settled,95.0
2023,Madhya Pradesh,Electrical & Electronics,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Govt Department,353,1,1,1,3,0.77,108,0,Mutually Settled,18.0
2023,Uttar Pradesh,Printing & Packaging,Non-Payment,10-50 Lakh,3000000,Private Large Corp,712,1,1,1,10,0.45,11,1,Mutually Settled,56.0
2022,Maharashtra,Textile & Apparel,Payment After Due Date,10-50 Lakh,3000000,Govt Department,444,0,1,1,10,0.65,78,0,Mutually Settled,164.0
2025,Uttarakhand,Auto Components,Non-Payment,10-50 Lakh,3000000,Govt Department,747,0,1,1,5,0.92,33,0,Mutually Settled,160.0
2022,Kerala,Textile & Apparel,Non-Payment,1-10 Lakh,500000,PSU,819,1,1,0,5,0.68,40,1,Mutually Settled,127.0
2023,Odisha,IT & Software Services,Partial Payment,Above 1 Crore,15000000,Govt Department,148,0,0,1,1,1.0,103,3,Mutually Settled,115.0
2025,Goa,Textile & Apparel,Partial Payment,Below 1 Lakh,50000,CPSE,325,1,1,0,14,0.56,113,1,Disposed - In Favour of Claimant,213.0
2023,Gujarat,Electrical & Electronics,Non-Payment,1-10 Lakh,500000,Private Large Corp,800,1,1,0,9,0.63,116,2,Disposed - In Favour of Claimant,344.0
2021,Uttar Pradesh,Textile & Apparel,Non-Payment,1-10 Lakh,500000,PSU,644,1,1,1,7,0.63,27,1,Mutually Settled,131.0
2017,West Bengal,Manufacturing,Non-Payment,1-10 Lakh,500000,Private SME,178,1,1,1,4,0.39,40,1,Mutually Settled,82.0
2023,Haryana,Pharma & Chemicals,Non-Payment,10-50 Lakh,3000000,Private Large Corp,756,0,0,1,12,0.87,24,0,Disposed - In Favour of Claimant,540.0
2025,Gujarat,Textile & Apparel,Non-Payment,Below 1 Lakh,50000,Private Large Corp,131,1,1,0,13,0.58,54,2,Disposed - In Favour of Claimant,374.0
2022,Telangana,Electrical & Electronics,Non-Payment,1-10 Lakh,500000,PSU,650,1,1,1,9,0.7,15,0,Mutually Settled,64.0
2021,Gujarat,Food Processing,Non-Payment,1-10 Lakh,500000,PSU,226,1,1,1,3,0.53,107,0,Mutually Settled,60.0
2022,Gujarat,Food Processing,Contract Breach,10-50 Lakh,3000000,Private Large Corp,716,0,1,1,13,1.0,111,0,Mutually Settled,77.0
2023,Karnataka,Auto Components,Quality Dispute Leading to Non-Payment,50 Lakh - 1 Crore,7500000,PSU,80,1,1,1,4,0.9,69,0,Mutually Settled,19.0
2017,Delhi,Auto Components,Partial Payment,10-50 Lakh,3000000,PSU,551,0,1,0,2,0.66,72,1,Mutually Settled,146.0
2024,Delhi,Auto Components,Contract Breach,1-10 Lakh,500000,PSU,655,1,1,1,3,0.41,73,0,Mutually Settled,39.0
2024,Maharashtra,Engineering & Fabrication,Partial Payment,10-50 Lakh,3000000,Govt Department,704,0,1,1,7,0.8,70,0,Mutually Settled,61.0
2022,Kerala,Construction,Non-Payment,Below 1 Lakh,50000,Private SME,79,1,1,1,14,0.87,16,0,Mutually Settled,74.0
2019,Tamil Nadu,Auto Components,Non-Payment,1-10 Lakh,500000,PSU,523,0,1,1,11,0.46,70,0,Converted to Case - Pending,
2023,Maharashtra,Textile & Apparel,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,PSU,768,1,0,1,13,0.62,36,0,Mutually Settled,157.0
2019,Kerala,Auto Components,Partial Payment,1-10 Lakh,500000,Govt Department,511,0,1,1,12,0.67,42,1,Disposed - In Favour of Claimant,410.0
2022,Uttarakhand,Construction,Payment After Due Date,Below 1 Lakh,50000,PSU,430,0,1,1,3,0.87,20,0,Mutually Settled,82.0
2018,Andhra Pradesh,Engineering & Fabrication,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Private SME,726,1,1,0,2,0.62,18,0,Mutually Settled,160.0
2022,Telangana,Construction,Non-Payment,1-10 Lakh,500000,PSU,167,1,1,1,1,0.84,80,1,Mutually Settled,96.0
2020,Punjab,IT & Software Services,Non-Payment,1-10 Lakh,500000,PSU,354,1,0,1,13,0.5,13,0,Mutually Settled,54.0
2024,Karnataka,Auto Components,Non-Payment,1-10 Lakh,500000,Private Large Corp,253,1,1,1,4,0.44,15,1,Mutually Settled,76.0
2024,Maharashtra,Auto Components,Non-Payment,1-10 Lakh,500000,Private SME,171,0,0,0,12,1.0,35,0,Converted to Case - Pending,
2025,Uttar Pradesh,Auto Components,Non-Payment,Above 1 Crore,15000000,PSU,550,1,1,0,8,0.39,74,0,Converted to Case - Pending,
2020,Uttar Pradesh,IT & Software Services,Non-Payment,10-50 Lakh,3000000,Govt Department,749,0,1,0,8,0.5,44,0,Disposed - In Favour of Claimant,227.0
2018,Tamil Nadu,Construction,Non-Payment,50 Lakh - 1 Crore,7500000,PSU,107,1,0,1,8,0.81,20,0,Mutually Settled,147.0
2021,West Bengal,Manufacturing,Non-Payment,10-50 Lakh,3000000,Private Large Corp,100,0,0,0,14,0.54,95,1,Converted to Case - Pending,
2018,Rajasthan,Textile & Apparel,Non-Payment,10-50 Lakh,3000000,PSU,393,1,1,1,8,0.54,16,2,Disposed - In Favour of Claimant,602.0
2019,Maharashtra,Electrical & Electronics,Non-Payment,1-10 Lakh,500000,Private Large Corp,419,1,1,1,3,0.61,98,0,Mutually Settled,64.0
2022,Gujarat,Textile & Apparel,Partial Payment,Below 1 Lakh,50000,Private Large Corp,568,1,1,1,5,0.22,8,0,Disposed - In Favour of Claimant,703.0
2022,Haryana,Auto Components,Non-Payment,10-50 Lakh,3000000,Private Large Corp,285,1,1,1,9,0.87,59,1,Mutually Settled,76.0
2018,Maharashtra,Engineering & Fabrication,Partial Payment,1-10 Lakh,500000,Private Large Corp,865,1,0,0,9,0.69,15,3,Disposed - In Favour of Claimant,458.0
2021,Andhra Pradesh,IT & Software Services,Quality Dispute Leading to Non-Payment,Below 1 Lakh,50000,Private Large Corp,269,1,1,1,4,0.49,71,0,Disposed - In Favour of Claimant,244.0
2022,Rajasthan,Manufacturing,Non-Payment,1-10 Lakh,500000,Govt Department,583,1,1,1,7,0.31,67,3,Mutually Settled,58.0
2020,Rajasthan,Printing & Packaging,Non-Payment,10-50 Lakh,3000000,Private SME,887,1,1,1,12,0.38,85,0,Disposed - In Favour of Claimant,508.0
2024,Delhi,Manufacturing,Quality Dispute Leading to Non-Payment,Above 1 Crore,15000000,Private Large Corp,93,1,1,0,9,0.33,69,1,Disposed - Dismissed,195.0
2019,Telangana,Electrical & Electronics,Partial Payment,1-10 Lakh,500000,PSU,858,1,1,0,8,0.7,114,0,Mutually Settled,28.0
2020,Uttar Pradesh,Textile & Apparel,Payment After Due Date,10-50 Lakh,3000000,PSU,532,1,1,0,10,0.7,31,0,Mutually Settled,93.0
2019,Haryana,Auto Components,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,846,1,1,0,12,0.77,22,0,Converted to Case - Pending,
2019,Karnataka,Pharma & Chemicals,Payment After Due Date,1-10 Lakh,500000,Private Large Corp,635,1,1,1,6,0.8,13,0,Mutually Settled,86.0
2024,Tamil Nadu,Printing & Packaging,Quality Dispute Leading to Non-Payment,Below 1 Lakh,50000,Private Large Corp,566,1,1,0,6,0.78,42,0,Disposed - In Favour of Claimant,452.0
2020,Kerala,Auto Components,Partial Payment,1-10 Lakh,500000,Private SME,379,1,0,0,13,0.96,47,0,Mutually Settled,61.0
2023,Madhya Pradesh,IT & Software Services,Non-Payment,50 Lakh - 1 Crore,7500000,Private SME,785,1,1,0,14,0.89,109,1,Mutually Settled,50.0
2021,Punjab,Printing & Packaging,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,PSU,292,1,1,1,7,0.84,101,0,Mutually Settled,21.0
2023,Andhra Pradesh,Electrical & Electronics,Payment After Due Date,1-10 Lakh,500000,Govt Department,150,1,1,0,8,0.7,52,0,Disposed - In Favour of Claimant,223.0
2025,Kerala,Pharma & Chemicals,Payment After Due Date,1-10 Lakh,500000,PSU,559,0,1,0,3,0.79,55,0,Mutually Settled,134.0
2024,Haryana,Construction,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,554,1,1,0,4,0.57,113,1,Mutually Settled,126.0
2018,Andhra Pradesh,Construction,Payment After Due Date,Above 1 Crore,15000000,Private SME,504,0,1,0,7,0.61,58,0,Converted to Case - Pending,
2024,Haryana,Construction,Non-Payment,1-10 Lakh,500000,Private Large Corp,417,1,1,1,10,0.99,8,2,Mutually Settled,70.0
2021,Haryana,Engineering & Fabrication,Non-Payment,Above 1 Crore,15000000,Govt Department,827,1,1,1,6,0.54,98,1,Mutually Settled,29.0
2021,Delhi,Construction,Partial Payment,1-10 Lakh,500000,PSU,721,1,0,1,3,0.52,23,0,Mutually Settled,155.0
2023,West Bengal,Food Processing,Non-Payment,1-10 Lakh,500000,Govt Department,80,1,1,1,6,0.58,82,0,Mutually Settled,63.0
2025,Gujarat,Printing & Packaging,Partial Payment,Above 1 Crore,15000000,PSU,621,1,1,0,10,0.54,68,0,Mutually Settled,143.0
2018,Kerala,Pharma & Chemicals,Partial Payment,1-10 Lakh,500000,Govt Department,663,1,1,0,2,0.56,77,0,Disposed - In Favour of Claimant,665.0
2023,Kerala,IT & Software Services,Non-Payment,1-10 Lakh,500000,Private Large Corp,289,1,0,1,11,0.7,30,0,Mutually Settled,126.0
2020,Maharashtra,Food Processing,Partial Payment,1-10 Lakh,500000,Private Large Corp,454,1,1,1,4,0.71,42,0,Mutually Settled,99.0
2021,Telangana,Food Processing,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Private SME,566,1,1,0,14,0.83,106,0,Disposed - In Favour of Claimant,580.0
2024,Maharashtra,Pharma & Chemicals,Non-Payment,50 Lakh - 1 Crore,7500000,Govt Department,250,1,1,0,6,1.0,5,1,Mutually Settled,146.0
2022,Tamil Nadu,IT & Software Services,Partial Payment,50 Lakh - 1 Crore,7500000,Private SME,600,0,1,0,1,0.58,31,0,Mutually Settled,152.0
